index,X_img,Y_img,latitude,longitude
841,72647,5337,-22.787626100000004,-43.53138859999999
842,72692,6210,-22.791542999999997,-43.531184800000005
843,72716,6981,-22.795004900000002,-43.53107749999999
844,72793,7896,-22.7991095,-43.5307342
845,72769,8198,-22.800464500000004,-43.53084150000001
846,72676,8546,-22.802027199999998,-43.53125990000001
847,72372,9617,-22.8068339,-43.5326225
848,72040,10754,-22.811937,-43.53411380000001
849,71779,11677,-22.81608070000005,-43.535283199999995
850,73694,8257,-22.8007316,-43.526689399999995
851,73763,8365,-22.8012162,-43.5263783
852,73316,9438,-22.8060328,-43.52838459999999
853,72881,10531,-22.810938199999995,-43.5303372
854,72731,10895,-22.81257,-43.531013099999996
855,72255,12111,-22.8180289,-43.5331482
856,71753,13398,-22.823804099999997,-43.5354012
857,71719,14593,-22.82916369999995,-43.5355514
858,71626,14628,-22.8293219,-43.5359699
859,71660,13345,-22.823566799999952,-43.535819700000005
860,72174,12034,-22.8176828,-43.533513000000006
861,72637,10864,-22.812431500000002,-43.531431600000005
862,72810,10419,-22.810433799999995,-43.53065910000001
863,73221,9403,-22.8058745,-43.52881369999999
864,73543,8650,-22.802492099999952,-43.5273653
865,73614,8724,-22.802826399999997,-43.527049000000005
866,71332,13237,-22.823082199999998,-43.5372895
867,71409,14780,-22.830004200000005,-43.536946200000045
868,71705,15265,-22.8321796,-43.5356158
869,72427,16472,-22.837598200000006,-43.532375699999996
870,72920,17276,-22.84120719999995,-43.530165600000004
871,73445,18146,-22.8451128,-43.5278052
872,73806,18750,-22.847821800000002,-43.52618520000005
873,74378,19686,-22.8520238,-43.523621
874,74567,20788,-22.856966999999997,-43.5227734
875,74765,21968,-22.862266,-43.521882899999994
876,74985,23182,-22.8677131,-43.5208958
877,74985,23627,-22.869709999999998,-43.52089579999995
878,74987,25099,-22.8763133,-43.5208851
879,74983,25784,-22.8793875,-43.520906599999996
880,74983,26220,-22.8813447,-43.5209066
881,75346,27290,-22.886148499999994,-43.5192758
882,76228,27927,-22.889004999999997,-43.51531689999994
883,77445,28810,-22.892968500000002,-43.509855900000005
884,78712,29968,-22.898167200000003,-43.504169600000004
885,79625,30792,-22.901866399999996,-43.5000737
886,81129,30977,-22.9026937,-43.49332269999999
887,83460,30514,-22.900618299999998,-43.482862100000006
888,84564,30514,-22.900618299999998,-43.477905400000004
889,85690,30508,-22.9005886,-43.4728521
890,86953,30497,-22.900539199999997,-43.46718729999999
891,87737,30497,-22.900539199999997,-43.4636682
892,88721,30494,-22.9005268,-43.45925069999999
893,89455,30664,-22.901290299999996,-43.45595419999999
894,92150,31281,-22.9040576,-43.4438628
895,92647,31281,-22.904057599999998,-43.441631199999996
896,94120,31173,-22.903573299999998,-43.435022200000006
897,94564,31166,-22.9035437,-43.43302669999999
898,96295,31168,-22.903553600000052,-43.425259000000004
899,96859,31206,-22.903721599999997,-43.422726999999995
900,98533,31325,-22.9042553,-43.4152168
901,100483,31256,-22.9039487,-43.406465100000005
